Aa en Hunze,Drenthe,6.75,233.0,25562
Aalsmeer,Noord-Holland,4.75,232.23333333333335,32480
Aalten,Gelderland,6.583333333333333,231.93333333333334,27105
Achtkarspelen,Friesland,6.25,233.41666666666666,27938
Alblasserdam,Zuid-Holland,4.666666666666667,231.86666666666667,20129
Albrandswaard,Zuid-Holland,4.416666666666667,231.86666666666667,25913
Alkmaar,Noord-Holland,4.766666666666667,232.61666666666667,110785
Almelo,Overijssel,6.666666666666667,232.36666666666667,73175
Almere,Flevoland,5.216666666666667,232.36666666666667,217828
Alphen aan den Rijn,Zuid-Holland,4.65,232.13333333333333,112913
Alphen-Chaam,Noord-Brabant,4.866666666666667,231.5,10442
Altena,Noord-Brabant,4.966666666666667,231.76666666666665,57020
Ameland,Friesland,5.753888888888889,233.45,3757
Amersfoort,Utrecht,5.383333333333334,232.15,158590
Amstelveen,Noord-Holland,4.833333333333333,232.3,92351
Amsterdam,Noord-Holland,4.883333333333333,232.36666666666667,905234
Apeldoorn,Gelderland,5.95,232.21666666666667,165648
Arnhem,Gelderland,5.916666666666667,231.98333333333335,163888
Assen,Drenthe,6.55,232.98333333333335,69042
Asten,Noord-Brabant,5.746944444444445,231.40305555555557,17076
Baarle-Nassau,Noord-Brabant,4.933333333333334,231.45,6931
Baarn,Utrecht,5.3,232.21666666666667,24870
Barendrecht,Zuid-Holland,4.533333333333333,231.85,48674
Barneveld,Gelderland,5.583333333333333,232.13333333333333,60617
Beek,Limburg,5.796111111111111,230.93888888888887,15790
Beekdaelen,Limburg,5.883333333333333,230.95,35931
Beesel,Limburg,6.033333333333333,231.26666666666665,13403
Berg en Dal,Gelderland,5.933333333333334,231.78333333333333,34979
Bergeijk,Noord-Brabant,5.358888888888888,231.32,18877
Bergen op Zoom,Noord-Brabant,4.283333333333333,231.5,67938
Berkelland,Gelderland,6.516666666666667,232.11666666666667,43825
Bernheze,Noord-Brabant,5.516666666666667,231.68333333333334,31763
Best,Noord-Brabant,5.4,231.5,30648
Beuningen,Gelderland,5.75,231.85,26244
Beverwijk,Noord-Holland,4.65,232.48333333333335,42077
Bladel,Noord-Brabant,5.216666666666667,231.36666666666667,20707
Blaricum,Noord-Holland,5.25,232.26666666666665,12391
Bloemendaal,Noord-Holland,4.616666666666667,232.4,23701
Bodegraven-Reeuwijk,Zuid-Holland,4.736944444444444,232.06138888888887,35765
Boekel,Noord-Brabant,5.666666666666667,231.6,11053
Borger-Odoorn,Drenthe,6.85,232.85,25679
Borne,Overijssel,6.75,232.3,24061
Borsele,Zeeland,3.8166666666666664,231.43333333333334,22840
Boxtel,Noord-Brabant,5.333333333333333,231.58333333333334,33088
Breda,Noord-Brabant,4.783333333333333,231.58333333333334,184716
Bronckhorst,Gelderland,6.3,232.05,36073
Brummen,Gelderland,6.1,232.1,20873
Brunssum,Limburg,5.966666666666667,230.95,27691
Bunnik,Utrecht,5.2,232.06666666666666,15649
Bunschoten,Utrecht,5.366666666666666,232.25,22321
Buren,Gelderland,5.333333333333333,231.91666666666666,27225
Capelle aan den IJssel,Zuid-Holland,4.583333333333333,231.93333333333334,67255
Castricum,Noord-Holland,4.666666666666667,232.55,36294 
Coevorden,Drenthe,6.733333333333333,232.65,35466
Cranendonck,Noord-Brabant,5.566666666666666,231.26666666666665,20671
Culemborg,Gelderland,5.233333333333333,231.95,29348
Dalfsen,Overijssel,6.25,232.5,29171
Dantumadeel,Friesland,5.983333333333333,233.28333333333333,18977
De Bilt,Utrecht,5.183333333333334,232.1,43506
De Friese Meren,Friesland,5.7,232.93333333333334,51604
De Ronde Venen,Utrecht,4.866666666666667,232.2,45026
De Wolden,Drenthe,6.416666666666667,232.66666666666666,24498
Delft,Zuid-Holland,4.35,232.01666666666665,104468
Den Haag,Zuid-Holland,4.3,232.08333333333334,553417
Den Helder,Noord-Holland,4.766666666666667,232.95,56348
Deurne,Noord-Brabant,5.795,231.4638888888889,32604
Deventer,Overijssel,6.2,232.26666666666665,101440
Diemen,Noord-Holland,4.963055555555556,232.3438888888889,31762
Dijk en Waard,Noord-Holland,4.833333333333333,232.66666666666666,87695
Dinkelland,Overijssel,7.0,232.36666666666667,26595
Doesburg,Gelderland,6.133333333333334,232.01666666666665,11039
Doetinchem,Gelderland,6.283333333333333,231.96666666666667,58552
Dongen,Noord-Brabant,4.933333333333334,231.61666666666667,26515
Dordrecht,Zuid-Holland,4.666666666666667,231.8,119576
Drechterland,Noord-Holland,5.166666666666667,232.68333333333334,19993
Drimmelen,Noord-Brabant,4.7972222222222225,231.69444444444446,27537
Dronten,Flevoland,5.716666666666667,232.51666666666665,42936
Druten,Gelderland,5.6,231.88333333333333,19209
Duiven,Gelderland,6.016666666666667,231.95,24958
Echt-Susteren,Limburg,5.866666666666667,231.08333333333334,31727
Edam-Volendam,Noord-Holland,5.061111111111111,232.50194444444446,36445
Ede,Gelderland,5.666666666666667,232.05,120037
Eemnes,Utrecht,5.256944444444445,232.2538888888889,9450
Eemsdelta,Groningen,6.833333333333333,233.33333333333334,45559
Eersel,Noord-Brabant,5.3149999999999995,231.35694444444445,19843
Eijsden-Margraten,Limburg,5.75,230.78333333333333,25855
Eindhoven,Noord-Brabant,5.466666666666667,231.43333333333334,238478
Elburg,Gelderland,5.85,232.45,23746
Emmen,Drenthe,6.883333333333333,232.78333333333333,107902
Enkhuizen,Noord-Holland,5.3,232.7,18631
Enschede,Overijssel,6.883333333333333,232.21666666666667,160640
Epe,Gelderland,5.916666666666667,232.33333333333334,33246
